accountId,amount,currency,merchant,category,location,timestamp
acct-1005,58.48,USD,Airbnb,Dining,Toronto,2026-08-14T09:22:00Z
acct-1002,151.70,USD,Zara,Electronics,Boston,2026-08-14T09:33:00Z
acct-1003,22.79,USD,Netflix,Groceries,Berlin,2026-08-14T10:20:00Z
acct-1001,63.88,USD,Starbucks,Fuel,London,2026-08-14T10:21:00Z
acct-1005,42.09,USD,Zara,Groceries,Toronto,2026-08-14T10:45:00Z
acct-1004,293.96,USD,Starbucks,Transport,Hong Kong,2026-08-14T10:59:00Z
acct-1002,158.14,USD,Netflix,Dining,Boston,2026-08-14T12:17:00Z
acct-1005,87.47,USD,Starbucks,Travel,Toronto,2026-08-14T12:37:00Z
acct-1003,21.08,USD,Uber,Travel,Berlin,2026-08-14T12:46:00Z
acct-1004,389.11,USD,Airbnb,Transport,Singapore,2026-08-14T12:55:00Z
acct-1002,106.93,USD,Tesco,Fuel,New York,2026-08-14T13:07:00Z
acct-1001,60.89,USD,Airbnb,Entertainment,London,2026-08-14T13:44:00Z
acct-1003,7.56,USD,Starbucks,Travel,Berlin,2026-08-14T13:55:00Z
acct-1001,41.79,USD,Starbucks,Dining,London,2026-08-14T14:21:00Z
acct-1005,31.53,USD,Starbucks,Dining,Toronto,2026-08-14T14:21:00Z
acct-1005,49.20,USD,Tesco,Transport,Toronto,2026-08-14T14:42:00Z
acct-1005,980.00,USD,Best Buy,Electronics,Toronto,2026-08-14T15:00:00Z
acct-1004,259.54,USD,Amazon,Travel,Singapore,2026-08-14T15:07:00Z
acct-1002,119.22,USD,Airbnb,Electronics,New York,2026-08-14T16:02:00Z
acct-1005,42.97,USD,Airbnb,Entertainment,Toronto,2026-08-14T16:26:00Z
acct-1001,42.95,USD,Best Buy,Dining,London,2026-08-14T16:45:00Z
acct-1003,16.87,USD,Starbucks,Groceries,Berlin,2026-08-14T17:36:00Z
acct-1004,391.64,USD,Tesco,Entertainment,Singapore,2026-08-14T18:01:00Z
acct-1005,69.19,USD,Shell,Transport,Toronto,2026-08-14T18:05:00Z
acct-1003,15.95,USD,Delta Airlines,Retail,Berlin,2026-08-14T18:15:00Z
acct-1005,56.31,USD,Steam,Electronics,Toronto,2026-08-14T18:29:00Z
acct-1002,147.10,USD,Best Buy,Transport,Boston,2026-08-14T18:49:00Z
acct-1004,268.04,USD,Tesco,Dining,Hong Kong,2026-08-14T19:10:00Z
acct-1001,33.93,USD,Delta Airlines,Transport,London,2026-08-14T20:03:00Z
