accountId,amount,currency,merchant,category,location,timestamp
acct-1003,13.02,USD,Delta Airlines,Fuel,Berlin,2026-08-14T09:43:00Z
acct-1005,31.45,USD,Steam,Fuel,Toronto,2026-08-14T09:49:00Z
acct-1004,255.33,USD,Netflix,Electronics,Singapore,2026-08-14T09:52:00Z
acct-1001,63.88,USD,Starbucks,Fuel,London,2026-08-14T10:21:00Z
acct-1002,116.98,USD,Starbucks,Transport,Boston,2026-08-14T10:59:00Z
acct-1005,68.56,USD,Delta Airlines,Electronics,Toronto,2026-08-14T11:50:00Z
acct-1003,7.51,USD,Apple,Retail,Berlin,2026-08-14T12:37:00Z
acct-1002,164.55,USD,Airbnb,Transport,New York,2026-08-14T12:55:00Z
acct-1004,377.40,USD,Uber,Electronics,Hong Kong,2026-08-14T13:04:00Z
acct-1003,17.30,USD,Shell,Retail,Berlin,2026-08-14T13:13:00Z
acct-1005,78.84,USD,Delta Airlines,Dining,Toronto,2026-08-14T13:16:00Z
acct-1001,60.89,USD,Airbnb,Entertainment,London,2026-08-14T13:44:00Z
acct-1001,41.79,USD,Starbucks,Dining,London,2026-08-14T14:21:00Z
acct-1003,16.62,USD,Netflix,Dining,Berlin,2026-08-14T14:34:00Z
acct-1005,980.00,USD,Best Buy,Electronics,Toronto,2026-08-14T15:00:00Z
acct-1002,99.77,USD,Amazon,Travel,New York,2026-08-14T15:07:00Z
acct-1001,42.95,USD,Best Buy,Dining,London,2026-08-14T16:45:00Z
acct-1003,13.71,USD,Uber,Electronics,Berlin,2026-08-14T16:45:00Z
acct-1004,301.08,USD,Netflix,Transport,Singapore,2026-08-14T16:47:00Z
acct-1005,63.93,USD,Tesco,Subscription,Toronto,2026-08-14T17:09:00Z
acct-1002,165.82,USD,Tesco,Entertainment,New York,2026-08-14T18:01:00Z
acct-1003,31.99,USD,Delta Airlines,Retail,Berlin,2026-08-14T18:04:00Z
acct-1004,283.63,USD,Apple,Entertainment,Singapore,2026-08-14T18:24:00Z
acct-1002,104.02,USD,Tesco,Dining,Boston,2026-08-14T19:10:00Z
acct-1005,83.46,USD,Apple,Transport,Toronto,2026-08-14T19:43:00Z
acct-1001,33.93,USD,Delta Airlines,Transport,London,2026-08-14T20:03:00Z
acct-1005,43.33,USD,Delta Airlines,Groceries,Toronto,2026-08-14T20:46:00Z
acct-1002,119.41,USD,Shell,Travel,Boston,2026-08-14T20:59:00Z
acct-1003,1.00,USD,Starbucks,Groceries,Berlin,2026-08-14T21:30:00Z
acct-1004,387.61,USD,Apple,Retail,Hong Kong,2026-08-14T22:10:00Z
acct-1004,293.45,USD,Steam,Travel,Hong Kong,2026-08-14T23:13:00Z
acct-1001,29.78,USD,Shell,Electronics,London,2026-08-14T23:45:00Z
acct-1005,66.74,USD,Amazon,Subscription,Toronto,2026-08-14T23:50:00Z
acct-1002,95.47,USD,Airbnb,Entertainment,New York,2026-08-15T00:47:00Z
acct-1003,11.55,USD,Amazon,Dining,Berlin,2026-08-15T01:04:00Z
acct-1005,87.76,USD,Steam,Dining,Toronto,2026-08-15T01:07:00Z
acct-1001,43.18,USD,Tesco,Groceries,Manchester,2026-08-15T01:27:00Z
acct-1005,72.22,USD,Starbucks,Subscription,Toronto,2026-08-15T01:39:00Z
acct-1004,281.75,USD,Best Buy,Fuel,Hong Kong,2026-08-15T02:08:00Z
acct-1003,25.93,USD,Shell,Travel,Berlin,2026-08-15T02:10:00Z
acct-1002,113.17,USD,Shell,Transport,New York,2026-08-15T02:18:00Z
acct-1002,158.02,USD,Uber,Transport,New York,2026-08-15T03:02:00Z
acct-1001,55.29,USD,Netflix,Subscription,London,2026-08-15T03:19:00Z
acct-1004,306.96,USD,Zara,Travel,Hong Kong,2026-08-15T03:36:00Z
acct-1004,383.22,USD,Zara,Fuel,Singapore,2026-08-15T04:22:00Z
acct-1005,37.71,USD,Steam,Retail,Toronto,2026-08-15T05:12:00Z
